City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Palmer,US,42.1584,-72.3287,37.56,75,0,0.0,clear sky
80,Santiago De Cuba,CU,20.0247,-75.8219,76.62,78,20,6.91,few clouds
81,Hamilton,US,39.1834,-84.5333,58.75,62,100,14.97,overcast clouds
82,Meiganga,CM,6.5167,14.3,66.4,25,51,6.38,broken clouds
83,Micheweni,TZ,-4.9667,39.8333,82.74,76,100,12.57,overcast clouds
84,Xuddur,SO,4.1213,43.8894,79.29,50,41,20.76,scattered clouds
85,Barrow,US,71.2906,-156.7887,19.42,86,100,17.27,snow
86,Upernavik,GL,72.7868,-56.1549,-24.3,99,100,2.21,overcast clouds
87,Dombarovskiy,RU,50.7587,59.5386,28.78,96,100,6.35,overcast clouds
88,Mutis,CO,6.2262,-77.4044,77.47,83,100,4.92,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,72.19,81,67,4.14,broken clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,75,23.02,broken clouds
91,Provideniya,RU,64.3833,-173.3,26.98,98,100,6.42,snow
92,Klaksvik,FO,62.2266,-6.589,36.52,91,100,30.47,overcast clouds
93,Turukhansk,RU,65.8167,87.9833,18.72,93,100,17.0,light snow
94,Kisangani,CD,0.5167,25.2,74.95,58,71,2.06,broken clouds
95,Velsen,NL,52.46,4.65,44.94,86,20,3.0,few clouds
96,Tondano,ID,1.3038,124.9112,73.49,96,100,4.65,light rain
97,Okhotsk,RU,59.3833,143.3,-1.34,76,0,13.24,clear sky
98,Maymyo,MM,22.0333,96.4667,72.12,23,6,9.91,clear sky
99,Daru,PG,-9.0763,143.2092,77.04,94,100,6.62,heavy intensity rain
100,Souillac,MU,-20.5167,57.5167,84.36,94,75,21.85,broken clouds
101,Sitka,US,57.0531,-135.33,30.09,64,0,0.0,clear sky
102,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,40,4.61,scattered clouds
103,Haines Junction,CA,60.7522,-137.5108,-0.45,71,100,1.14,overcast clouds
104,Dingle,PH,10.9995,122.6711,82.38,69,100,13.18,overcast clouds
105,Isparta,TR,38.0,31.0,32.76,87,77,12.21,broken clouds
106,Tuatapere,NZ,-46.1333,167.6833,59.83,63,84,10.65,broken clouds
107,Ust-Shonosha,RU,61.1531,41.343,23.74,96,100,7.87,overcast clouds
108,Bogorodskoye,RU,56.55,37.8833,33.26,99,100,11.48,light snow
109,Tocache,PE,-8.1842,-76.5125,69.06,98,100,0.13,moderate rain
110,Yellowknife,CA,62.456,-114.3525,-20.58,91,20,8.05,few clouds
111,Maniitsoq,GL,65.4167,-52.9,-14.91,93,43,8.19,scattered clouds
112,Surman,LY,32.7567,12.5716,57.31,74,34,14.43,scattered clouds
113,Tocopilla,CL,-22.092,-70.1979,68.54,84,25,0.76,scattered clouds
114,Kavieng,PG,-2.5744,150.7967,81.93,76,99,7.05,overcast clouds
115,Qaanaaq,GL,77.484,-69.3632,-7.85,54,17,8.23,few clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,75.24,91,100,14.56,overcast clouds
117,Cravo Norte,CO,6.3017,-70.2041,79.48,40,66,5.03,broken clouds
118,Khatanga,RU,71.9667,102.5,8.58,87,100,2.42,overcast clouds
119,Kahului,US,20.8947,-156.47,77.02,80,75,16.11,broken clouds
120,Lagoa,PT,39.05,-27.9833,56.57,67,12,3.04,few clouds
121,Severo-Kurilsk,RU,50.6789,156.125,31.39,76,100,33.87,overcast clouds
122,Bambous Virieux,MU,-20.3428,57.7575,84.22,94,75,21.85,light rain
123,Ippy,CF,6.2679,21.2247,73.62,20,80,4.97,broken clouds
124,Minab,IR,27.1467,57.0801,71.92,64,1,2.3,haze
125,Sulmona,IT,42.0479,13.9291,43.5,94,96,9.66,overcast clouds
126,Erenhot,CN,43.6475,111.9767,15.31,60,1,12.73,clear sky
127,Georgetown,MY,5.4112,100.3354,89.53,74,20,9.22,few clouds
128,Moerai,PF,-22.4333,-151.3333,80.01,73,19,13.0,few clouds
129,Port Elizabeth,ZA,-33.918,25.5701,61.09,82,0,5.75,clear sky
130,Ekhabi,RU,53.5102,142.9671,-3.48,86,54,17.78,broken clouds
131,Saint-Augustin,CA,51.226,-58.6502,-14.62,70,0,13.76,clear sky
132,Tumpat,MY,6.1978,102.171,86.05,79,20,8.05,few clouds
133,High Rock,BS,26.6208,-78.2833,66.22,76,4,14.97,clear sky
134,Honiara,SB,-9.4333,159.95,83.53,82,97,1.14,overcast clouds
135,Bandarbeyla,SO,9.4942,50.8122,79.57,70,49,17.16,scattered clouds
136,Blieskastel,DE,49.2372,7.2562,41.34,85,20,3.0,few clouds
137,Cabo San Lucas,MX,22.8909,-109.9124,67.6,74,24,8.68,few clouds
138,Kruisfontein,ZA,-34.0033,24.7314,65.98,67,10,2.93,clear sky
139,Mahudha,IN,22.8167,72.9333,80.58,19,0,7.54,clear sky
140,Moramanga,MG,-18.9333,48.2,65.91,90,100,10.51,light rain
141,Saint-Pierre,RE,-21.3393,55.4781,82.08,83,75,4.61,light rain
142,Yarada,IN,17.65,83.2667,84.52,65,40,2.3,smoke
143,Lugoba,TZ,-6.45,38.3333,76.84,83,100,4.23,overcast clouds
144,Fortuna,US,40.5982,-124.1573,40.66,95,75,3.44,broken clouds
145,Sampit,ID,-2.5333,112.95,90.43,52,85,4.29,overcast clouds
146,Meulaboh,ID,4.1363,96.1285,85.53,67,80,6.06,broken clouds
147,Robore,BO,-18.3333,-59.75,72.77,95,13,4.29,few clouds
148,Sosnovo-Ozerskoye,RU,52.5249,111.5418,9.48,82,66,8.84,broken clouds
149,Gloucester,GB,51.8657,-2.2431,52.2,88,95,11.01,overcast clouds
150,Half Moon Bay,US,37.4636,-122.4286,50.11,86,100,16.11,overcast clouds
151,Kaitangata,NZ,-46.2817,169.8464,51.57,93,100,5.59,overcast clouds
152,Urucara,BR,-2.5364,-57.76,73.69,96,67,1.81,broken clouds
153,Laguna,US,38.421,-121.4238,50.43,76,0,10.36,clear sky
154,Deputatskiy,RU,69.3,139.9,-20.33,80,90,5.68,overcast clouds
155,Salinopolis,BR,-0.6136,-47.3561,79.47,85,85,11.39,overcast clouds
156,Beringovskiy,RU,63.05,179.3167,-2.49,94,97,7.76,overcast clouds
157,Ilulissat,GL,69.2167,-51.1,-2.18,65,20,12.66,few clouds
158,Vardo,NO,70.3705,31.1107,17.8,65,100,1.59,light snow
159,Gachancipa,CO,4.9911,-73.8715,49.35,97,100,1.05,overcast clouds
160,Cairns,AU,-16.9167,145.7667,95.29,76,75,11.5,light rain
161,Saint-Philippe,RE,-21.3585,55.7679,81.99,87,100,25.43,light rain
162,East London,ZA,-33.0153,27.9116,67.14,88,0,8.05,clear sky
163,Wellington,NZ,-41.2866,174.7756,69.46,78,20,3.0,few clouds
164,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,19.57,light snow
165,Kinsale,IE,51.7075,-8.5306,52.23,93,75,21.85,light rain
166,Tangerang,ID,-6.1781,106.63,91.53,62,20,13.8,few clouds
167,Atuona,PF,-9.8,-139.0333,78.64,73,3,16.75,clear sky
168,Tikhvin,RU,59.6451,33.5294,32.22,99,100,6.78,light snow
169,Liepaja,LV,56.5419,21.0367,33.85,93,100,18.41,overcast clouds
170,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,72.23,96,73,1.97,broken clouds
171,Aklavik,CA,68.2191,-135.0107,2.12,80,100,23.89,overcast clouds
172,Isangel,VU,-19.55,169.2667,89.71,62,40,4.61,scattered clouds
173,Port Lincoln,AU,-34.7333,135.8667,68.11,55,28,12.1,scattered clouds
174,Vila,PT,42.0304,-8.1588,38.28,87,43,3.94,scattered clouds
175,Tasiilaq,GL,65.6145,-37.6368,28.56,73,100,39.97,overcast clouds
176,Breytovo,RU,58.2993,37.8617,32.86,98,100,10.98,snow
177,Sarakhs,IR,36.5449,61.1577,44.74,100,100,6.91,overcast clouds
178,Rio Real,BR,-11.4847,-37.9328,73.45,91,20,4.21,few clouds
179,Maues,BR,-3.3836,-57.7186,73.04,98,87,2.51,overcast clouds
180,Airai,TL,-8.9266,125.4092,64.33,89,100,2.48,overcast clouds
181,Wanning,CN,18.8003,110.3967,61.25,88,100,14.16,overcast clouds
182,Fez,MA,34.0372,-4.9998,50.25,49,0,4.61,clear sky
183,Polyarnyy,RU,69.1989,33.4478,7.27,99,100,5.21,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,-21.98,98,100,11.16,light snow
185,Alofi,NU,-19.0595,-169.9187,76.89,94,100,3.44,overcast clouds
186,Havre-Saint-Pierre,CA,50.2334,-63.5986,1.99,45,100,14.97,overcast clouds
187,Urgut,UZ,39.4022,67.2431,46.02,48,100,3.33,light rain
188,Manica,FR,49.0,-1.1667,45.81,95,91,10.04,overcast clouds
189,Tomatlan,MX,19.9333,-105.25,67.35,58,0,3.06,clear sky
190,Hithadhoo,MV,-0.6,73.0833,82.78,71,100,8.46,overcast clouds
191,Lilongwe,MW,-13.9669,33.7873,70.0,94,75,5.75,light rain
192,Vazante,BR,-17.9869,-46.9078,67.6,93,100,2.73,light rain
193,Dillon,US,34.4166,-79.3712,62.82,90,100,6.93,overcast clouds
194,Borujerd,IR,33.8973,48.7516,39.43,87,0,0.0,clear sky
195,Sur,OM,22.5667,59.5289,75.06,54,0,15.59,clear sky
196,Iracoubo,GF,5.4802,-53.2011,75.72,92,100,4.85,overcast clouds
197,Achacachi,BO,-16.05,-68.6833,42.53,84,98,1.05,overcast clouds
198,Olinda,BR,-8.0089,-34.8553,76.73,94,40,4.61,scattered clouds
199,Kitob,UZ,39.0843,66.8332,50.58,39,100,6.49,overcast clouds
200,San Quintin,MX,30.4833,-115.95,56.08,73,9,11.36,clear sky
201,Aneho,TG,6.2333,1.6,79.0,86,75,6.71,broken clouds
