City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dikson,RU,2022-02-04 09:54:32,73.5069,80.5464,-4.61,93,100,5.48
68,Pisco,PE,2022-02-04 09:54:32,-13.7,-76.2167,66.25,82,0,10.36
69,Qaanaaq,GL,2022-02-04 09:54:33,77.484,-69.3632,-9.63,50,93,8.3
70,Mar Del Plata,AR,2022-02-04 09:50:11,-38.0023,-57.5575,67.08,96,100,0.0
71,Kutum,SD,2022-02-04 09:54:33,14.2,24.6667,70.45,13,18,15.35
72,New Norfolk,AU,2022-02-04 09:54:33,-42.7826,147.0587,60.3,85,7,2.84
73,Roald,NO,2022-02-04 09:54:34,62.5833,6.1333,39.33,81,75,19.57
74,Tuatapere,NZ,2022-02-04 09:45:36,-46.1333,167.6833,52.83,89,100,3.27
75,Leua,SK,2022-02-04 09:54:34,48.2156,18.6071,41.94,71,76,4.63
76,Byron Bay,AU,2022-02-04 09:54:35,-28.65,153.6167,73.29,69,81,23.24
77,Avarua,CK,2022-02-04 09:54:35,-21.2078,-159.775,78.85,83,40,10.36
78,Kisarawe,TZ,2022-02-04 09:54:35,-6.9,39.0667,84.0,70,75,10.36
79,Bengkulu,ID,2022-02-04 09:49:19,-3.8004,102.2655,78.53,84,95,6.6
80,Beloha,MG,2022-02-04 09:54:36,-25.1667,45.05,96.12,33,2,12.48
81,Creston,US,2022-02-04 09:54:36,41.0586,-94.3614,1.47,92,0,4.61
82,Erdenet,MN,2022-02-04 09:54:36,49.0333,104.0833,1.74,90,98,3.69
83,Hermanus,ZA,2022-02-04 09:51:59,-34.4187,19.2345,77.9,50,38,17.54
84,Thinadhoo,MV,2022-02-04 09:54:37,0.5333,72.9333,82.4,72,100,9.35
85,Jamestown,US,2022-02-04 09:50:01,42.097,-79.2353,18.09,67,100,4.0
86,Changping,CN,2022-02-04 09:54:37,40.2186,116.2197,31.64,24,0,6.26
87,Mazagao,BR,2022-02-04 09:54:37,-0.115,-51.2894,77.05,98,99,1.3
88,Miguel Auza,MX,2022-02-04 09:54:38,24.2933,-103.4503,41.34,73,0,4.29
89,Tortoli,IT,2022-02-04 09:54:38,39.9256,9.6572,60.82,71,0,5.75
90,Yenagoa,NG,2022-02-04 09:54:38,4.9247,6.2642,92.1,46,12,2.13
91,Loandjili,CG,2022-02-04 09:54:39,-4.7561,11.8578,84.31,65,40,4.61
92,Petropavlovsk-Kamchatskiy,RU,2022-02-04 09:55:39,53.0452,158.6483,28.99,51,75,11.18
93,Joao Pinheiro,BR,2022-02-04 09:55:39,-17.7425,-46.1725,69.3,90,100,2.82
94,Verrettes,HT,2022-02-04 09:55:40,19.05,-72.4667,71.19,93,3,4.76
95,Cascais,PT,2022-02-04 09:55:40,38.6979,-9.4215,57.06,82,20,1.01
96,Pundaguitan,PH,2022-02-04 09:55:40,6.3711,126.1689,75.51,90,100,10.02
97,Carutapera,BR,2022-02-04 09:55:41,-1.195,-46.02,77.65,88,100,7.76
98,Saint George,US,2022-02-04 09:55:39,37.1041,-113.5841,33.35,46,0,1.01
99,Brownwood,US,2022-02-04 09:55:41,31.7093,-98.9912,20.52,79,100,16.11
100,Lagos,NG,2022-02-04 09:54:28,6.5833,3.75,84.52,39,2,1.99
101,Lunenburg,CA,2022-02-04 09:55:42,44.3835,-64.3155,39.2,96,100,6.49
102,Kodiak,US,2022-02-04 09:55:42,57.79,-152.4072,38.71,70,100,13.8
103,Norman Wells,CA,2022-02-04 09:55:42,65.282,-126.8329,-36.36,61,20,6.91
104,Asau,RO,2022-02-04 09:48:00,46.4333,26.4,38.39,62,85,5.57
105,Chokurdakh,RU,2022-02-04 09:55:43,70.6333,147.9167,-30.59,100,16,1.3
106,Toamasina,MG,2022-02-04 09:55:43,-18.1667,49.3833,87.8,58,75,25.32
107,Karratha,AU,2022-02-04 09:50:39,-20.7377,116.8463,87.98,57,80,12.21
108,Bafq,IR,2022-02-04 09:55:43,31.6128,55.4107,73.81,8,0,13.22
109,Upata,VE,2022-02-04 09:55:44,8.0086,-62.3989,70.2,79,88,5.59
110,Sarkand,KZ,2022-02-04 09:55:44,45.41,79.9186,24.93,91,63,2.98
111,San Cristobal,VE,2022-02-04 09:55:44,7.7669,-72.225,65.34,88,68,1.7
112,Thanh Hoa,VN,2022-02-04 09:53:17,19.8,105.7667,61.3,58,99,4.74
113,Oussouye,SN,2022-02-04 09:55:45,12.485,-16.5469,69.89,19,0,7.38
114,Carnarvon,AU,2022-02-04 09:55:45,-24.8667,113.6333,93.27,40,13,17.27
115,Along,IN,2022-02-04 09:50:32,28.1667,94.7667,65.53,51,100,0.85
116,Raudeberg,NO,2022-02-04 09:55:45,61.9875,5.1352,38.8,80,100,8.01
117,Deputatskiy,RU,2022-02-04 09:55:46,69.3,139.9,-27.38,100,60,1.52
118,Lubao,PH,2022-02-04 09:55:46,14.9167,120.55,89.62,56,37,10.85
119,San Quintin,MX,2022-02-04 09:50:31,30.4833,-115.95,53.62,59,1,4.9
120,Saint-Philippe,RE,2022-02-04 09:55:46,-21.3585,55.7679,81.99,91,100,29.66
121,Bonfim,BR,2022-02-04 09:55:47,3.0833,-59.95,74.08,78,81,8.28
122,Carbonia,IT,2022-02-04 09:55:47,39.1672,8.5222,45.25,51,87,3.69
123,Noumea,NC,2022-02-04 09:49:23,-22.2763,166.4572,80.58,86,99,6.6
124,Havoysund,NO,2022-02-04 09:55:48,70.9963,24.6622,21.43,76,71,25.61
125,Faya,SA,2022-02-04 09:55:48,18.3851,42.4509,69.91,40,2,10.67
126,Sfantu Gheorghe,RO,2022-02-04 09:53:04,45.8667,25.7833,36.93,54,77,1.54
127,Touros,BR,2022-02-04 09:48:09,-5.1989,-35.4608,76.1,71,74,14.16
128,Nemuro,JP,2022-02-04 09:55:48,43.3236,145.575,19.83,74,79,7.61
129,Belaya Gora,RU,2022-02-04 09:55:49,68.5333,146.4167,-38.38,100,37,2.26
130,Yar-Sale,RU,2022-02-04 09:55:49,66.8333,70.8333,2.14,97,96,4.97
131,Chardara,KZ,2022-02-04 09:55:49,41.2547,67.9692,52.18,20,0,6.35
132,Akdagmadeni,TR,2022-02-04 09:55:50,39.6603,35.8836,30.97,99,100,8.25
133,Axim,GH,2022-02-04 09:55:50,4.8699,-2.2405,85.51,62,2,2.82
134,Lazaro Cardenas,MX,2022-02-04 09:55:50,17.9583,-102.2,67.57,85,1,4.79
